file	e0	w	q	a	b	c
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0021.VERT	0.18	0.14	0.00	0.34	0.00	0.39	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0022.VERT	0.07	0.08	0.00	0.39	0.00	0.44	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0023.VERT	0.09	0.06	0.00	0.41	0.00	0.49	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0024.VERT	0.10	0.07	0.00	0.41	0.00	0.53	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0025.VERT	0.12	0.08	0.00	0.89	0.00	0.97	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0026.VERT	0.11	0.06	0.00	1.26	0.00	1.21	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0027.VERT	0.11	0.07	0.00	2.14	0.01	1.57	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0028.VERT	0.09	0.05	0.00	1.91	0.00	1.47	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0029.VERT	0.09	0.07	0.00	2.55	0.00	2.20	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0030.VERT	0.10	0.07	0.00	2.30	0.00	2.06	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0031.VERT	0.10	0.06	0.00	2.25	0.00	1.97	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0032.VERT	0.08	0.06	0.00	2.98	0.00	2.69	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0033.VERT	0.09	0.05	0.00	0.59	0.00	0.52	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0034.VERT	0.12	0.09	0.00	1.49	0.00	1.51	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0035.VERT	0.09	0.06	0.00	0.58	0.00	0.69	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0036.VERT	0.13	0.09	0.00	0.49	0.00	0.58	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0037.VERT	0.13	0.09	0.00	0.32	0.00	0.37	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0038.VERT	0.15	0.10	0.00	0.26	0.00	0.28	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0039.VERT	0.19	0.13	0.00	0.22	0.00	0.31	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0040.VERT	0.21	0.14	0.01	0.22	0.00	0.24	
/Users/akipnis/Desktop/Aalto Atomic Scale Physics/Summer 2021 Corrals Exp data/Ag 2021-08-13 2p5 nm radius/300mV to -200mV line/Createc2_210813.231403.L0041.VERT	0.15	0.12	0.01	0.36	0.00	0.34	
